file_name,vehicle_journey_code,journey_code,departure_time,service_code,line_name,direction,destination_display,origin,destination,start_date,end_date,days_of_week,operator_code,operator_name,journey_pattern_ref,journey_pattern_section_ref
ENSB_22P_ENSBPF00019613722_20260216_20260220_2295876.xml,vj_7,66,13:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-16,2026-02-20,"Monday, Tuesday, Wednesday, Thursday, Friday",ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260216_20260220_2295876.xml,vj_8,74,14:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-16,2026-02-20,"Monday, Tuesday, Wednesday, Thursday, Friday",ENSB,Ensignbus,jp_3,js_3
ENSB_22P_ENSBPF00019613722_20260216_20260220_2295876.xml,vj_9,82,15:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-16,2026-02-20,"Monday, Tuesday, Wednesday, Thursday, Friday",ENSB,Ensignbus,jp_4,js_4
ENSB_22P_ENSBPF00019613722_20260216_20260220_2295876.xml,vj_10,90,16:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-16,2026-02-20,"Monday, Tuesday, Wednesday, Thursday, Friday",ENSB,Ensignbus,jp_5,js_5
ENSB_22P_ENSBPF00019613722_20260216_20260220_2295876.xml,vj_11,96,17:12:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-16,2026-02-20,"Monday, Tuesday, Wednesday, Thursday, Friday",ENSB,Ensignbus,jp_6,js_6
ENSB_22P_ENSBPF00019613722_20260216_20260220_2295876.xml,vj_12,102,18:01:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-16,2026-02-20,"Monday, Tuesday, Wednesday, Thursday, Friday",ENSB,Ensignbus,jp_7,js_7
ENSB_22P_ENSBPF00019613722_20260216_20260220_2295876.xml,vj_13,19,07:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-16,2026-02-20,"Monday, Tuesday, Wednesday, Thursday, Friday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260216_20260220_2295876.xml,vj_14,27,08:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-16,2026-02-20,"Monday, Tuesday, Wednesday, Thursday, Friday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260216_20260220_2295876.xml,vj_15,35,09:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-16,2026-02-20,"Monday, Tuesday, Wednesday, Thursday, Friday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260216_20260220_2295876.xml,vj_16,43,10:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-16,2026-02-20,"Monday, Tuesday, Wednesday, Thursday, Friday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260216_20260220_2295876.xml,vj_17,51,11:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-16,2026-02-20,"Monday, Tuesday, Wednesday, Thursday, Friday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260216_20260220_2295876.xml,vj_18,59,12:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-16,2026-02-20,"Monday, Tuesday, Wednesday, Thursday, Friday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260216_20260220_2295876.xml,vj_19,67,13:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-16,2026-02-20,"Monday, Tuesday, Wednesday, Thursday, Friday",ENSB,Ensignbus,jp_9,js_9
ENSB_22P_ENSBPF00019613722_20260216_20260220_2295876.xml,vj_20,85,15:48:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-16,2026-02-20,"Monday, Tuesday, Wednesday, Thursday, Friday",ENSB,Ensignbus,jp_9,js_9
ENSB_22P_ENSBPF00019613722_20260216_20260220_2295876.xml,vj_21,75,14:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-16,2026-02-20,"Monday, Tuesday, Wednesday, Thursday, Friday",ENSB,Ensignbus,jp_10,js_10
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_1,18,07:25:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_1,js_1
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_2,26,08:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_3,34,09:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_4,42,10:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_5,50,11:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_6,58,12:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_7,66,13:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_8,74,14:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_3,js_3
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_9,82,15:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_4,js_4
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_10,90,16:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_5,js_5
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_11,96,17:12:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_6,js_6
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_12,102,18:01:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_7,js_7
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_13,19,07:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_14,27,08:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_15,35,09:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_16,43,10:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_17,51,11:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_18,59,12:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_19,67,13:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_9,js_9
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_20,85,15:48:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_9,js_9
ENSB_22P_ENSBPF00019613722_20260223_20260325_2295899.xml,vj_21,75,14:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-23,2026-03-25,"Monday, Tuesday, Wednesday",ENSB,Ensignbus,jp_10,js_10
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_1,18,07:25:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_1,js_1
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_2,26,08:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_3,34,09:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_4,42,10:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_5,50,11:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_6,58,12:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_7,66,13:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_8,74,14:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_3,js_3
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_9,82,15:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_4,js_4
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_10,90,16:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_5,js_5
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_11,96,17:12:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_6,js_6
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_12,102,18:01:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_7,js_7
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_13,19,07:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_14,27,08:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_15,35,09:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_16,43,10:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_17,51,11:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_18,59,12:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_19,67,13:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_9,js_9
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_20,85,15:48:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_9,js_9
ENSB_22P_ENSBPF00019613722_20260226_20260326_2295900.xml,vj_21,75,14:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-26,2026-03-26,Thursday,ENSB,Ensignbus,jp_10,js_10
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_1,18,07:25:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_1,js_1
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_2,26,08:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_3,34,09:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_4,42,10:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_5,50,11:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_6,58,12:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_7,66,13:30:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_2,js_2
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_8,74,14:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_3,js_3
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_9,82,15:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_4,js_4
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_10,90,16:29:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_5,js_5
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_11,96,17:12:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_6,js_6
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_12,102,18:01:00,PF0001961:37,22,inbound,Purfleet-on-Thames Station,"Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_7,js_7
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_13,19,07:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_14,27,08:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_15,35,09:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_16,43,10:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_17,51,11:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_18,59,12:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_8,js_8
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_19,67,13:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_9,js_9
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_20,85,15:48:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_9,js_9
ENSB_22P_ENSBPF00019613722_20260227_20260327_2295901.xml,vj_21,75,14:38:00,PF0001961:37,22,outbound,"Grays Bus Station, 5","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2026-02-27,2026-03-27,Friday,ENSB,Ensignbus,jp_10,js_10
ENSB_22T_ENSBPF00019613722_20251227_20260321_2235291.xml,vj_1,101,05:27:00,PF0001961:37,22,outbound,"Lakeside Bus Station, G","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2025-12-27,2026-03-21,Saturday,ENSB,Ensignbus,jp_1,js_1
ENSB_22T_ENSBPF00019613722_20251227_20260321_2235291.xml,vj_2,149,17:27:00,PF0001961:37,22,outbound,"Lakeside Bus Station, G","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2025-12-27,2026-03-21,Saturday,ENSB,Ensignbus,jp_2,js_2
ENSB_22T_ENSBPF00019613722_20251227_20260321_2235291.xml,vj_3,151,17:57:00,PF0001961:37,22,outbound,"Lakeside Bus Station, G","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2025-12-27,2026-03-21,Saturday,ENSB,Ensignbus,jp_2,js_2
ENSB_22T_ENSBPF00019613722_20251227_20260321_2235291.xml,vj_4,153,18:25:00,PF0001961:37,22,outbound,"Lakeside Bus Station, G","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2025-12-27,2026-03-21,Saturday,ENSB,Ensignbus,jp_3,js_3
ENSB_22T_ENSBPF00019613722_20251227_20260321_2235291.xml,vj_5,155,18:55:00,PF0001961:37,22,outbound,"Lakeside Bus Station, G","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2025-12-27,2026-03-21,Saturday,ENSB,Ensignbus,jp_3,js_3
ENSB_22T_ENSBPF00019613722_20251227_20260321_2235291.xml,vj_6,157,19:25:00,PF0001961:37,22,outbound,"Lakeside Bus Station, G","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2025-12-27,2026-03-21,Saturday,ENSB,Ensignbus,jp_3,js_3
ENSB_22T_ENSBPF00019613722_20251227_20260321_2235291.xml,vj_7,159,19:55:00,PF0001961:37,22,outbound,"Lakeside Bus Station, G","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2025-12-27,2026-03-21,Saturday,ENSB,Ensignbus,jp_3,js_3
ENSB_22T_ENSBPF00019613722_20251227_20260321_2235291.xml,vj_8,161,20:25:00,PF0001961:37,22,outbound,"Lakeside Bus Station, G","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2025-12-27,2026-03-21,Saturday,ENSB,Ensignbus,jp_3,js_3
ENSB_22T_ENSBPF00019613722_20251227_20260321_2235291.xml,vj_9,163,20:55:00,PF0001961:37,22,outbound,"Lakeside Bus Station, G","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2025-12-27,2026-03-21,Saturday,ENSB,Ensignbus,jp_3,js_3
ENSB_22T_ENSBPF00019613722_20251227_20260321_2235291.xml,vj_10,165,21:25:00,PF0001961:37,22,outbound,"Lakeside Bus Station, G","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2025-12-27,2026-03-21,Saturday,ENSB,Ensignbus,jp_3,js_3
ENSB_22T_ENSBPF00019613722_20251227_20260321_2235291.xml,vj_11,167,21:55:00,PF0001961:37,22,outbound,"Lakeside Bus Station, G","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2025-12-27,2026-03-21,Saturday,ENSB,Ensignbus,jp_3,js_3
ENSB_22T_ENSBPF00019613722_20251227_20260321_2235291.xml,vj_12,169,22:25:00,PF0001961:37,22,outbound,"Lakeside Bus Station, G","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2025-12-27,2026-03-21,Saturday,ENSB,Ensignbus,jp_3,js_3
ENSB_22T_ENSBPF00019613722_20251227_20260321_2235291.xml,vj_13,171,22:55:00,PF0001961:37,22,outbound,"Lakeside Bus Station, G","Purfleet-on-Thames Stn/ Aveley, Usk Road",Grays,2025-12-27,2026-03-21,Saturday,ENSB,Ensignbus,jp_3,js_3
